id_tse;cargo;nome_completo;numero_candidato;nome_urna;situacao_candidatura;detalhe_situacao_candidatura;numero_partido;sigla_partido;nome_partido;municipio_nascimento;data_nascimento;genero;grau_instrucao;estado_civil;cor_raca;ocupacao;reeleicao;venceu;situacao_candidatura_urna;bens;receita_campanha;despesa_contratada_campanha;number;votos;porcentagem
160000623326;DEPUTADO ESTADUAL;ADRIANA MARIA LEITE AGUILERA;11012;ADRIANA AGUILERA;APTO;DEFERIDO;11;PP;PROGRESSISTAS;LONDRINA;12/02/1971;FEMININO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;OUTROS;N;SUPLENTE;DEFERIDO;;414713.0;414700.16;;;
160000623026;DEPUTADO ESTADUAL;EDENILSO DA SILVA;13333;ZICO;APTO;DEFERIDO;13;PT;PARTIDO DOS TRABALHADORES;CURITIBA;06/10/1962;MASCULINO;ENSINO MÉDIO INCOMPLETO;SOLTEIRO(A);BRANCA;COMERCIANTE;N;SUPLENTE;DEFERIDO;30000.0;;;;;
160000629618;DEPUTADO FEDERAL;EZEQUIEL DA SILVA;1511;ZICO DO MERCADÃO;INAPTO;INDEFERIDO;15;MDB;MOVIMENTO DEMOCRÁTICO BRASILEIRO;PALMAS;02/10/1982;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;EMPRESÁRIO;N;NÃO ELEITO;PENDENTE DE JULGAMENTO;;33700.0;9900.0;1511.0;0,00%;0.0
160000622044;DEPUTADO ESTADUAL;MARCO AURÉLIO PETROSKI;19456;DR. PETROSKI;APTO;DEFERIDO;19;PODE;PODEMOS;CURITIBA;12/03/1970;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;ADVOGADO;N;SUPLENTE;DEFERIDO;348900.0;;;;;
160000624248;DEPUTADO ESTADUAL;DANIEL VALENTE ISFER;23230;DANIEL ISFER;APTO;DEFERIDO;23;PPS;PARTIDO POPULAR SOCIALISTA;CURITIBA;01/08/1958;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;ENGENHEIRO;N;SUPLENTE;DEFERIDO;175106.0;6200.0;5000.0;;;
160000610012;DEPUTADO FEDERAL;VAGNER DE MORAES ALAMINO;5456;DELEGADO VAGNER ALAMINO;APTO;DEFERIDO;54;PPL;PARTIDO PÁTRIA LIVRE;PORTO GAUCHOS;25/11/1981;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;SERVIDOR PÚBLICO FEDERAL;N;NÃO ELEITO;DEFERIDO;285000.0;21227.0;19079.0;5456.0;0,25%;14350.0
160000621504;DEPUTADO FEDERAL;SANDRA MARA REI SANTOS;2835;SANDRA REY;APTO;DEFERIDO;28;PRTB;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;UNIÃO DA VITÓRIA;12/10/1964;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;PSICÓLOGO;N;NÃO ELEITO;DEFERIDO;2834.0;1050.0;;2835.0;0,00%;153.0
160000621616;DEPUTADO ESTADUAL;ROSELI LECHINIOSKI;44404;ROSELI GARÇONETE;APTO;DEFERIDO;44;PRP;PARTIDO REPUBLICANO PROGRESSISTA;CAMPO LARGO;01/07/1965;FEMININO;ENSINO FUNDAMENTAL COMPLETO;CASADO(A);BRANCA;GARÇOM;N;SUPLENTE;DEFERIDO;333900.0;5000.0;5000.0;;;
160000623349;DEPUTADO ESTADUAL;PAULO HENRIQUE COLETTI FERNANDES;45160;PAULO LITRO;APTO;DEFERIDO;45;PSDB;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;PATO BRANCO;30/10/1991;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;DEPUTADO;S;ELEITO POR QP;DEFERIDO;919553.0299999999;390126.0;373099.19;;;
160000623339;DEPUTADO ESTADUAL;WILSON LUIZ DARIENZO QUINTEIRO;45145;WILSON QUINTEIRO;APTO;DEFERIDO;45;PSDB;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;MARINGÁ;08/04/1971;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;DEPUTADO;S;SUPLENTE;DEFERIDO;4972793.86;244339.7;241339.7;;;
