id_tse;cargo;nome_completo;numero_candidato;nome_urna;situacao_candidatura;detalhe_situacao_candidatura;numero_partido;sigla_partido;nome_partido;municipio_nascimento;data_nascimento;genero;grau_instrucao;estado_civil;cor_raca;ocupacao;reeleicao;venceu;situacao_candidatura_urna;bens;receita_campanha;despesa_contratada_campanha;number;votos;porcentagem
240000627223;DEPUTADO FEDERAL;ANDERSON LUZ DOS SANTOS;1178;BATATA ANDERSON;APTO;DEFERIDO;11;PP;PROGRESSISTAS;INDAIAL;22/03/1979;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;SERVIDOR PÚBLICO ESTADUAL;N;SUPLENTE;DEFERIDO;1052120.0;104264.24;80394.24;1178.0;0,33%;11581.0
240000619033;DEPUTADO ESTADUAL;ALEXANDRE LOPES;77321;ALEXANDRE LOPES;APTO;DEFERIDO;77;SOLIDARIEDADE;SOLIDARIEDADE;TUBARÃO;11/05/1976;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);PRETA;EMPRESÁRIO;N;SUPLENTE;DEFERIDO;;19487.5;16620.0;;;
240000609762;DEPUTADO ESTADUAL;FRANCISCO DE ASSIS MEDEIROS;23455;FRANCISCO MEDEIROS;APTO;DEFERIDO;23;PPS;PARTIDO POPULAR SOCIALISTA;SAO JOSE;30/12/1957;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;ADVOGADO;N;SUPLENTE;DEFERIDO;132620.0;27568.5;26104.63;;;
240000614264;DEPUTADO ESTADUAL;MAGDA HORST;51115;MAGDA HORST;APTO;DEFERIDO;51;PATRIOTA;PATRIOTA;BOMRETIRO;21/05/1975;FEMININO;SUPERIOR INCOMPLETO;DIVORCIADO(A);BRANCA;GUIA DE TURISMO;N;NÃO ELEITO;DEFERIDO;;891.8299999999999;;;;
240000627261;DEPUTADO ESTADUAL;ALMIR VIEIRA;11677;ALMIR VIEIRA;APTO;DEFERIDO;11;PP;PROGRESSISTAS;BLUMENAU;29/01/1973;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;VEREADOR;N;SUPLENTE;DEFERIDO;495239.0;84720.0;79751.33;;;
240000627253;DEPUTADO ESTADUAL;JAIR ANTÔNIO MIOTTO;20104;JAIR MIOTTO;APTO;DEFERIDO;20;PSC;PARTIDO SOCIAL CRISTÃO;SÃO LOURENÇO DO OESTE;31/07/1970;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;ADMINISTRADOR;N;ELEITO POR QP;DEFERIDO;1125523.88;705800.0;695310.57;;;
240000619063;DEPUTADO ESTADUAL;NAZARENO SETEMBRINO MARTINS;40369;NAZARENO MARTINS;APTO;DEFERIDO;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;PALHOÇA;07/09/1950;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;SERVIDOR PÚBLICO CIVIL APOSENTADO;N;ELEITO POR QP;DEFERIDO;1231068.73;213000.0;210134.49;;;
240000609592;DEPUTADO ESTADUAL;SANDRA MARIA DA SILVA;15999;SANDRINHA;APTO;DEFERIDO;15;MDB;MOVIMENTO DEMOCRÁTICO BRASILEIRO;JOINVILLE;18/05/1968;FEMININO;LÊ E ESCREVE;DIVORCIADO(A);BRANCA;SECRETÁRIO E DATILÓGRAFO;N;SUPLENTE;DEFERIDO;;13000.0;9985.0;;;
240000609696;DEPUTADO ESTADUAL;RUTINEIA ROSSI;17890;RUTI ROSSI;APTO;DEFERIDO;17;PSL;PARTIDO SOCIAL LIBERAL;LUZERNA;30/07/1976;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;ADVOGADO;N;SUPLENTE;DEFERIDO;431686.62;19485.71;14892.74;;;
240000609609;DEPUTADO ESTADUAL;MARIA ANGELICA DA SILVA;45444;ANGELICA PONCIANO;APTO;DEFERIDO;45;PSDB;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;SÃO PAULO;23/01/1955;FEMININO;SUPERIOR COMPLETO;SEPARADO(A) JUDICIALMENTE;PRETA;PROFESSOR DE ENSINO FUNDAMENTAL;N;SUPLENTE;DEFERIDO;;247661.46;238688.64;;;
240000624362;DEPUTADO ESTADUAL;PEDRO CELSO ZUCHI;13456;CELSO ZUCHI;APTO;DEFERIDO;13;PT;PARTIDO DOS TRABALHADORES;GASPAR;12/06/1952;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;APOSENTADO (EXCETO SERVIDOR PÚBLICO);N;SUPLENTE;DEFERIDO COM RECURSO;165459.12;100370.55;61350.0;;;
240000614245;VICE-GOVERNADOR;DANNY CESAR GABRIEL DE OLIVEIRA JUMES;51;DR. DANNY CESAR;INAPTO;RENÚNCIA;51;PATRIOTA;PATRIOTA;CURITIBA;24/08/1979;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;MÉDICO;N;;;1286640.0;;;;;
240000609712;DEPUTADO FEDERAL;DANIEL COSTA DE FREITAS;1717;DANIEL FREITAS;APTO;DEFERIDO;17;PSL;PARTIDO SOCIAL LIBERAL;CRICIÚMA;03/04/1982;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;EMPRESÁRIO;N;ELEITO POR QP;DEFERIDO;183055.86;329200.0;320200.0;1717.0;4,02%;142571.0
240000609569;DEPUTADO ESTADUAL;JERRY EDSON COMPER;15010;JERRY DO ALDO;APTO;DEFERIDO;15;MDB;MOVIMENTO DEMOCRÁTICO BRASILEIRO;IBIRAMA;28/01/1975;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;MOTORISTA PARTICULAR;N;ELEITO POR QP;DEFERIDO;30000.0;473248.76;469850.0;;;
240000609633;DEPUTADO FEDERAL;MARA REGINA DOS SANTOS;4566;MARA FERVE;APTO;DEFERIDO;45;PSDB;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;FLORIANOPOLIS;09/09/1974;FEMININO;ENSINO MÉDIO COMPLETO;DIVORCIADO(A);PRETA;OUTROS;N;SUPLENTE;DEFERIDO;;29724.0;24877.98;4566.0;0,03%;1142.0
240000609713;DEPUTADO FEDERAL;DILETA CORRÊA DA SILVA PEREZ;1755;DILETA CORRÊA SILVA;APTO;DEFERIDO;17;PSL;PARTIDO SOCIAL LIBERAL;CANELA;26/06/1967;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;EMPRESÁRIO;N;SUPLENTE;DEFERIDO;2900000.0;9950.0;4160.0;1755.0;0,62%;22099.0
240000609718;DEPUTADO FEDERAL;JUNGLES SILVIO WEGHER;1788;JUNGLES WEGHER;APTO;DEFERIDO;17;PSL;PARTIDO SOCIAL LIBERAL;CATANDUVAS;15/07/1988;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);BRANCA;EMPRESÁRIO;N;SUPLENTE;DEFERIDO;134112.48;10649.4;4679.4;1788.0;0,26%;9085.0
240000627250;DEPUTADO ESTADUAL;JULIO CÉSAR GARCIA;55111;JULIO GARCIA;APTO;DEFERIDO;55;PSD;PARTIDO SOCIAL DEMOCRÁTICO;FLORIANÓPOLIS;28/03/1950;MASCULINO;ENSINO MÉDIO COMPLETO;DIVORCIADO(A);PARDA;SERVIDOR PÚBLICO CIVIL APOSENTADO;N;ELEITO POR QP;DEFERIDO;291912.33999999997;332867.17;320069.67;;;
240000609612;DEPUTADO ESTADUAL;PRISCYLLA MIGUEL;45500;PRISCYLLA MIGUEL;APTO;DEFERIDO;45;PSDB;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;LAGES;20/07/1983;FEMININO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);BRANCA;ATENDENTE DE LANCHONETE E RESTAURANTE;N;SUPLENTE;DEFERIDO;;22329.54;19401.28;;;
240000627322;DEPUTADO ESTADUAL;SIDNEY SABEL;25777;SIDNEY SABEL;APTO;DEFERIDO;25;DEM;DEMOCRATAS;TAIÓ;26/11/1967;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;ADMINISTRADOR;N;SUPLENTE;DEFERIDO;368000.0;200900.0;200826.34;;;
